,profiles,title,page_id
0,66231086,Arun Alexander,
1,66819174,Ashkar Saudan,
2,63849548,Athar Siddiqui,
3,62831954,Lochani Bag,
4,59669435,Pukhraj Bhalla,
5,42395698,Punarnavi Bhupalam,
6,13491433,Ram Charan,
7,63352752,Shaji Chaudhary,
8,64211218,Senthil Ganesh,
9,66451502,Adarsh Gourav,
10,43564953,Kapil Jhaveri,
11,1967356,Pawan Kalyan,
12,60828920,Bhaurao Karhade,
13,65206842,Kemparaj Urs,
14,60409184,Harish Khanna (actor),
15,63072444,Mansukh Chaturvedi ki Atmakatha,
16,66441668,Rabi Mishra,
17,4681491,Karishma Modi,
18,64313330,Navarasan,
19,7903276,Navdeep,
20,4774516,Prabhas,
21,65622058,Saurabh Sachdeva,
22,64451932,Reshmi Soman,
23,66090632,Soumitra Bannerjee,
24,64203063,Alexandar Soundarrajan,
25,63761214,Suhas,
26,5888467,Ravi Teja,
27,56562534,Ayi Tendulkar,
28,63366320,Mathew Thomas,
29,27703819,Ananth Vaidyanathan,
30,64715967,Parmish Verma,
31,62483226,Lists of Indian actors,
32,17690046,List of Indian child actors,
33,13999425,List of Indian comedians,
34,914237,List of Indian male film actors,
35,39547489,List of Marathi film actors,
36,7768933,List of singing actors in Indian cinema,
37,5234356,List of actors of Tamil origin,
38,9186416,List of Tamil film actors,
39,51055409,List of Indian television actors,
40,66206101,List of Marathi television actors,
41,62517183,Neha Amandeep,
42,66811088,Dhanya Ananya,
43,64421286,Sridevi Ashok,
44,60171401,Sanskruti Balgude,
45,40852123,Pooja Banerjee,
46,61676904,Manju Bharti,
47,42395698,Punarnavi Bhupalam,
48,65159247,Chandini Chowdary,
49,66238830,Anita Date-Kelkar,
50,63952576,Lakshmi Devy,
51,65695074,Geetanjali Mishra,
52,50386841,Rucha Inamdar,
53,65377136,M. Jayashree,
54,40136622,Gurbani Judge,
55,56521334,Lakshmi Kanakala,
56,59094738,Lekshmi Krishnamoorthy,
57,14718135,K. P. A. C. Lalitha,
58,63824486,Palak Lalwani,
59,16923868,Malashri,
60,62879193,Nanjil Nalini,
61,65518414,Natashaa Iyer,
62,58562673,Rashmi Nigam,
63,65371997,Niilam Paanchal,
64,17130995,Dipika O'Neill Joti,
65,3405103,Jaya Prada,
66,63151170,Praveena Bhagyaraj,
67,62657095,Priyanka Nalkari,
68,23519929,Divya Rana,
69,64411188,Revathi Pillai,
70,66314263,Madhurima Roy,
71,60289540,Yesha Rughani,
72,47011938,Keerthana Sabarish,
73,64672453,Dipa Sahu,
74,58208024,Nazea Hasan Sayed,
75,65213792,Shanta Hublikar,
76,61037701,Aneesh Sheth,
77,59367219,Nidhi Singh,
78,10902770,Niruta Singh,
79,47093570,Chandini Sreedharan,
80,61854550,Anila Sreekumar,
81,51606592,Allari Subhashini,
